Product Name;Variations;Rating;Username;Date;Review
"Masi bagus. Besok liat 1 bulan kemudian. 
Muluss";Variasi: BLACK,64GB;5;ginodalang820;2024-09-19;None
None;Variasi: 20W;5;zsenk;2024-09-19;None
Kondisi Barang: Hp mulusWarna: greyPerforma: mantulSaya kasih bintang 3 dulu karena charger tidak nyala, untuk hp kondisi baik2 saja.;Variasi: GRAY,256GB;3;novaviarawati25;2024-09-19;None
None;Variasi: SILVER,64GB;5;bayuyuliantosaputro1;2024-09-19;None
"Kondisi Barang: datang dalam keadaan mulusWarna: greenPerforma: berfungsi dengan baikBagus mulus gk ada lecet sama skli
Mksih bnyak seller 🤗🥰";Variasi: GREEN,64GB;5;thaniamamanua;2024-09-19;None
Kondisi Barang: okWarna: hitamKinerja: sesusiOverall hpnya aman selama dipake fungsi normal cuma gila sih batre health jarak 1bln turunnya drastis dari 100% skrg 87% baru sebulan lebih sehari cuy;Variasi: BLACK,64GB;3;humble_gans;2024-09-19;None
"HATI HATI GAES AKU BELI DI SINI BARU JUGA 4 BULAN UDAH SERVICE LCD,KATANYA LCD SEBELUM NYA GA ORI!!!
MANA PAS BARU 2 MINGGU BATRE NYA UDAH TURUN LAGII, BENER BENER GA TANGGUNG JWB DI CHT GA DI BALES!! DI KOMEN DI LIVE MALAH DI BLOKIR!!!
JANGAN SAMPE ADA KORBAN SELANJUTNYA!";Variasi: GREEN,64GB;1;yesiolshop02;2024-09-18;None
Kondisi Barang: bagusWarna: sesuaiKinerja: update ios 18 amanSementara jaringan aman;Variasi: GREEN,128GB;5;irwan_sukanda;2024-09-18;None
None;Variasi: GREEN,128GB;5;muhammadhalim0804;2024-09-18;None
None;Variasi: BLACK,128GB SIM STIKER;5;0ql8hv5kgc;2024-09-18;None
None;Variasi: GRAY,64GB;5;umniatunnajihah;2024-09-18;None
terimakasih🤍;Variasi: WHITE,128GB;5;cluvfzzie;2024-09-18;None
ADa kendala sedikit tp gpp, responn adminn gercepp, kedepannya lg tolong lebih teliti lagi untuk mengecek unit sebelum d kirim ya bub!! Jangan sampai bikin kecewa pelanggan km,sukses buat tokonya💘🙏🏻;Variasi: WHITE,64GB;4;an._.na;2024-09-18;None
